Tarih,Başlık,Metin
"Thu, 09 Aug 2018 07:00:00 GMT","Borsa, günün ilk yarısında yükseldi - Uzmanpara","Borsa, günün ilk yarısında yükseldi  Uzmanpara"
"Tue, 24 Jul 2018 07:00:00 GMT",Borsa güne yükselişle başladı - Uzmanpara,Borsa güne yükselişle başladı  Uzmanpara
"Wed, 09 May 2018 07:00:00 GMT",Borsa günün ilk yarısında yükseldi - Uzmanpara,Borsa günün ilk yarısında yükseldi  Uzmanpara
"Fri, 10 Aug 2018 07:00:00 GMT",Turkey's Borsa Istanbul down at open - Anadolu Ajansı,Turkey's Borsa Istanbul down at open  Anadolu Ajansı
"Wed, 26 Dec 2018 08:00:00 GMT",Turkey's Borsa Istanbul up at close - Anadolu Ajansı,Turkey's Borsa Istanbul up at close  Anadolu Ajansı
"Wed, 26 Sep 2018 07:00:00 GMT",Borsa İstanbul`da işlem gören şirket konkordato ilan etti - Uzmanpara,Borsa İstanbul`da işlem gören şirket konkordato ilan etti  Uzmanpara
"Tue, 09 Jan 2018 08:00:00 GMT",FETÖ`nün borsa ayağına soruşturma - Uzmanpara,FETÖ`nün borsa ayağına soruşturma  Uzmanpara
"Thu, 06 Dec 2018 08:00:00 GMT",Borsa İstanbul günü yükselişle tamamladı - Bigpara,Borsa İstanbul günü yükselişle tamamladı  Bigpara
"Tue, 16 Jan 2018 08:00:00 GMT",BIST 100 Endeksi kayıplarını geri alarak güçlü yükseldi | Borsa haberleri - Bloomberght,BIST 100 Endeksi kayıplarını geri alarak güçlü yükseldi | Borsa haberleri  Bloomberght
"Wed, 05 Dec 2018 08:00:00 GMT",Yabancı yatırımcı borsada 2 yılın en güçlü alımını yaptı - Anadolu Ajansı,Yabancı yatırımcı borsada 2 yılın en güçlü alımını yaptı  Anadolu Ajansı
"Wed, 09 May 2018 07:00:00 GMT",Çemaş'a Borsa İstanbul'dan özsermaye uyarısı haberi - Borsanın Gündemi,Çemaş'a Borsa İstanbul'dan özsermaye uyarısı haberi  Borsanın Gündemi
"Wed, 14 Feb 2018 08:00:00 GMT",MLP Sağlık Hizmetleri Borsa’da İşlem Görmeye Başladı - Bigpara,MLP Sağlık Hizmetleri Borsa’da İşlem Görmeye Başladı  Bigpara
"Tue, 22 May 2018 07:00:00 GMT",Borsa İstanbul’da Gong Formet Çelik Kapı için çaldı - Bigpara,Borsa İstanbul’da Gong Formet Çelik Kapı için çaldı  Bigpara
"Fri, 13 Jul 2018 07:00:00 GMT","Bu hafta borsa kaybettirdi, altın ve döviz kazandırdı - Uzmanpara","Bu hafta borsa kaybettirdi, altın ve döviz kazandırdı  Uzmanpara"
