Date,Now,Open,High,Low,Volume,Diff %
02.07.2018,"930,13","922,88","934,47","918,44","809,57M","0,30%"
03.07.2018,"928,39","932,62","936,54","926,84","739,12M","-0,19%"
04.07.2018,"935,03","930,37","937,16","926,07","686,11M","0,72%"
05.07.2018,"953,37","938,24","954,86","938,24","995,40M","1,96%"
06.07.2018,"950,66","955,31","960,48","944,18","977,66M","-0,28%"
09.07.2018,"956,14","959,35","971,93","951,15","1,15B","0,58%"
10.07.2018,"926,48","940,31","948,15","922,51","1,42B","-3,10%"
11.07.2018,"878,86","917,68","917,68","878,39","1,58B","-5,14%"
12.07.2018,"863,27","883,24","890,01","849,01","1,68B","-1,77%"
13.07.2018,"865,33","866,98","877,09","860,30","898,21M","0,24%"
16.07.2018,"862,82","873,05","875,87","857,23","964,02M","-0,29%"
17.07.2018,"881,89","863,39","881,89","863,08","1,17B","2,21%"
18.07.2018,"888,67","882,73","889,66","870,19","1,35B","0,77%"
19.07.2018,"895,34","892,87","898,30","887,23","1,03B","0,75%"
20.07.2018,"905,51","897,80","906,51","892,81","894,13M","1,14%"
23.07.2018,"918,43","912,67","925,19","912,67","940,61M","1,43%"
24.07.2018,"886,47","920,51","920,51","883,79","1,29B","-3,48%"
25.07.2018,"918,71","888,92","922,90","886,79","1,44B","3,64%"
26.07.2018,"912,89","922,78","931,30","900,30","1,48B","-0,63%"
27.07.2018,"920,69","913,90","924,65","909,12","1,04B","0,85%"
30.07.2018,"925,15","918,02","926,58","913,48","906,59M","0,48%"
31.07.2018,"934,07","922,69","936,32","921,39","1,06B","0,96%"
01.08.2018,"937,12","935,95","939,26","927,24","967,69M","0,33%"
02.08.2018,"911,99","920,84","920,84","908,28","993,20M","-2,68%"
03.08.2018,"921,01","911,31","925,99","911,31","1,03B","0,99%"
06.08.2018,"906,55","917,48","919,55","901,12","1,01B","-1,57%"
07.08.2018,"927,32","910,92","929,94","909,68","1,19B","2,29%"
08.08.2018,"935,25","928,87","938,61","925,60","1,12B","0,86%"
09.08.2018,"937,14","921,39","952,75","919,30","1,98B","0,20%"
10.08.2018,"916,27","921,89","944,36","856,44","2,03B","-2,23%"
13.08.2018,"892,97","906,90","906,90","855,48","2,28B","-2,54%"
14.08.2018,"900,28","913,18","917,99","894,54","1,57B","0,82%"
15.08.2018,"870,31","916,97","918,40","868,78","1,49B","-3,33%"
16.08.2018,"839,60","882,84","883,12","839,60","1,37B","-3,53%"
17.08.2018,"858,29","834,01","858,52","815,72","1,16B","2,23%"
20.08.2018,"872,35","860,27","875,31","860,14","330,43M","1,64%"
27.08.2018,"881,84","879,63","881,84","869,80","781,18M","1,09%"
28.08.2018,"907,88","881,62","909,11","878,85","1,03B","2,95%"
29.08.2018,"902,14","902,41","911,76","897,18","894,86M","-0,63%"
31.08.2018,"896,87","904,23","906,10","890,84","852,07M","-0,58%"
03.09.2018,"906,05","892,14","914,28","891,60","890,02M","1,02%"
04.09.2018,"899,36","909,29","912,47","896,99","732,65M","-0,74%"
05.09.2018,"895,24","898,19","904,64","890,88","847,58M","-0,46%"
06.09.2018,"893,70","898,32","908,03","893,70","635,24M","-0,17%"
07.09.2018,"898,86","897,67","902,79","891,49","777,81M","0,58%"
10.09.2018,"884,26","901,50","902,66","884,26","766,37M","-1,62%"
11.09.2018,"891,94","886,08","895,28","882,04","689,50M","0,87%"
12.09.2018,"890,21","895,99","903,15","887,70","860,22M","-0,19%"
13.09.2018,"911,13","890,34","912,93","880,70","1,39B","2,35%"
14.09.2018,"914,11","920,15","930,04","910,60","1,37B","0,33%"
17.09.2018,"910,13","911,01","917,28","904,33","903,67M","-0,44%"
18.09.2018,"915,46","913,73","920,26","912,01","1,00B","0,59%"
19.09.2018,"933,29","921,35","934,52","919,30","1,65B","1,95%"
20.09.2018,"927,94","937,23","941,03","922,82","1,99B","-0,57%"
21.09.2018,"947,43","932,51","947,43","932,51","1,11B","2,10%"
24.09.2018,"963,61","950,23","963,61","945,21","1,69B","1,71%"
25.09.2018,"961,07","969,16","969,77","954,31","1,56B","-0,26%"
26.09.2018,"960,17","963,44","965,68","950,00","1,06B","-0,09%"
27.09.2018,"971,83","959,35","975,41","957,82","1,82B","1,21%"
28.09.2018,"968,34","973,11","973,54","960,51","1,78B","-0,36%"
01.10.2018,"954,11","969,30","975,14","954,11","1,56B","-1,47%"
02.10.2018,"950,47","952,83","955,74","942,57","1,18B","-0,38%"
03.10.2018,"940,74","950,95","955,70","938,43","1,18B","-1,02%"
04.10.2018,"915,72","939,03","939,21","915,72","1,15B","-2,66%"
05.10.2018,"919,58","913,96","920,89","903,00","1,14B","0,42%"
08.10.2018,"932,22","911,77","933,52","909,42","1,28B","1,37%"
09.10.2018,"939,74","935,82","943,17","927,11","1,38B","0,81%"
10.10.2018,"916,43","942,82","943,56","916,43","1,29B","-2,48%"
11.10.2018,"919,29","911,14","922,82","906,99","1,18B","0,31%"
12.10.2018,"937,68","928,77","943,69","905,20","1,67B","2,00%"
15.10.2018,"956,79","944,51","961,11","944,51","1,64B","2,04%"
16.10.2018,"955,02","956,00","962,69","949,55","1,27B","-0,18%"
